datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/02/16 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,CACHOEIRA DOURADA,Mata Atlantica,2,0.6,0.2,-18.68,-49.416,12
2020/02/17 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,DIVISA ALEGRE,Mata Atlantica,3,0,0.4,-15.795,-41.347,50.8
2020/02/20 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,CASA GRANDE,Mata Atlantica,0,1.9,0,-20.86,-43.956,46.8
2020/02/20 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO PARDO DE MINAS,Mata Atlantica,0,0.5,0.1,-15.925,-42.584,11.5
2020/02/20 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO PARDO DE MINAS,Mata Atlantica,0,0.5,0.1,-15.926,-42.593,9.1
2020/02/20 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,OLHOS-D'AGUA,Cerrado,3,0.2,0.2,-17.348,-43.784,14.9
2020/10/10 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO DAS MISSOES,Cerrado,4,0.2,1,-14.899,-44.305,16.5
2020/04/22 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,PEQUERI,Mata Atlantica,3,0,0.9,-21.828,-43.076,6.8
2020/04/22 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,GUARANESIA,Mata Atlantica,6,0,0.9,-21.312,-46.808,7.8
2020/04/22 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,PASSOS,Cerrado,6,0,1,-20.791,-46.549,13.2
2020/06/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTE CARMELO,Cerrado,22,0,1,-18.839,-47.378,6.4
2020/06/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,ABADIA DOS DOURADOS,Cerrado,22,0,0.9,-18.259,-47.44,7.9
2020/06/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,ABADIA DOS DOURADOS,Cerrado,22,0,1,-18.25,-47.442,8.6
2020/06/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,JOAO PINHEIRO,Cerrado,19,0,1,-18.164,-46.044,22.5
2020/06/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,PRESIDENTE OLEGARIO,Cerrado,22,0,0.6,-17.787,-46.347,8.6
2020/06/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,PRESIDENTE OLEGARIO,Cerrado,22,0,0.6,-17.778,-46.348,29.5
2020/06/21 17:10:00,AQUA_M-T,Brasil,MINAS GERAIS,GUARANESIA,Mata Atlantica,13,0,1,-21.366,-46.793,17
2020/06/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SERRA DO SALITRE,Cerrado,26,0,1,-19.232,-46.547,22
2020/06/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SERRA DO SALITRE,Cerrado,26,0,1,-19.234,-46.563,35.1
2020/06/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SERRA DO SALITRE,Cerrado,26,0,1,-19.241,-46.557,66.6
2020/06/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,DELFINOPOLIS,Cerrado,26,0,1,-20.443,-46.743,16.2
2020/06/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,DELFINOPOLIS,Cerrado,27,0,1,-20.45,-46.729,19.9
